"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"24637",2012,"6,975","People Like Us","$12,558,931","$12,434,778","99%","$124,153","1%","tt1716777","https://m.media-amazon.com/images/M/MV5BMTM3MzUyNzg3NF5BMl5BanBnXkFtZTcwNjk3NDA4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,16304093.3728503,"2010's"
"24274",2012,"6,982","Whatcha Wearin'?","$12,534,479","-","-","$12,534,479","100%","tt2592336","https://m.media-amazon.com/images/M/MV5BMjA0OTY1MzQwMl5BMl5BanBnXkFtZTgwMDI0MTAzMjE@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,16272349.6128796,"2010's"
"24890",2012,"7,027","Did You... Score?","$12,351,892","-","-","$12,351,892","100%","tt2209400","https://m.media-amazon.com/images/M/MV5BMGY0NzA4OTgtYjFkZS00MjczLWE0YTktMmVhYWFlMjhhMTgzXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,16035313.8733992,"2010's"
"24802",2012,"7,062","The Guillotines","$12,217,440","$5,290","<0.1%","$12,212,150","100%","tt1847713","https://m.media-amazon.com/images/M/MV5BZWFkMDJiODYtY2I1OS00ZTBhLWEzZjYtMGUyMjhjYjhhMTc5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR7,0,190,281_.jpg",1.29820709842664,15860767.3326015,"2010's"
"24721",2012,"7,067","Zarafa","$12,197,574","-","-","$12,197,574","100%","tt2077908","https://m.media-amazon.com/images/M/MV5BMzc2NjMyNzMtYmNlZi00OGMyLWE5YjktY2M3YWM4MzI0YTg1XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_QL75_UY281_CR2,0,190,281_.jpg",1.29820709842664,15834977.1503842,"2010's"
"25072",2012,"7,080","OMG: Oh My God!","$12,140,087","-","-","$12,140,087","100%","tt2283748","https://m.media-amazon.com/images/M/MV5BMGNhYjUwNmYtNDQxNi00NDdmLTljMDAtZWM1NDQyZTk3ZDYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR2,0,190,281_.jpg",1.29820709842664,15760347.1189169,"2010's"
"25435",2012,"7,081","Bachelorette","$12,128,575","$447,954","3.7%","$11,680,621","96.3%","tt1920849","https://m.media-amazon.com/images/M/MV5BZGQ1YjkyZGQtZDk0ZS00ZDgwLTlhYjgtNzQxNjkwMmQ0Mzk5XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.29820709842664,15745402.1587999,"2010's"
"25078",2012,"7,094","Stoker","$12,077,441","$1,714,221","14.2%","$10,363,220","85.8%","tt1682180","https://m.media-amazon.com/images/M/MV5BMjI3MTM5ODI5MV5BMl5BanBnXkFtZTcwMjE1Mzc4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,15679019.6370289,"2010's"
"24754",2012,"7,134","Stefan v/s Kramer","$11,959,834","-","-","$11,959,834","100%","tt2328188","https://m.media-amazon.com/images/M/MV5BOWM1NTY4ZmUtMmU2MS00NmZmLTkwYWYtMDcwN2Q0Mjk3ZjkwXkEyXkFqcGdeQXVyMTcxNTYyMjM@._V1_QL75_UX190_CR0,14,190,281_.jpg",1.29820709842664,15526341.3948042,"2010's"
"26329",2012,"7,159","Precure All Stars New Stage Movie: Friends of the Future","$11,848,319","-","-","$11,848,319","100%","tt2368783","https://m.media-amazon.com/images/M/MV5BMWViOWI1ZTctYmJmYi00YTA3LWE3M2MtODAzZmQ3MjFhZjk4XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.29820709842664,15381571.8302232,"2010's"
